Set,Query,TopK,Precision,MRR,Likert
0,beanie,5,5,1.0,5
0,scarf,5,5,1.0,5
0,shawl,5,5,1.0,5
0,mittens,5,5,1.0,5
0,socks,5,5,1.0,5
0,blanket,5,5,1.0,5
0,cowl,5,5,1.0,5
0,cardigan,5,5,1.0,5
0,vest,5,5,1.0,5
0,poncho,5,5,1.0,5
0,headband,5,5,1.0,5
0,amigurumi,5,5,1.0,5
0,baby hat,5,5,1.0,5
0,crochet bag,5,5,1.0,5
0,knit sweater,5,5,1.0,5
0,beanie,10,10,1.0,5
0,scarf,10,10,1.0,5
0,shawl,10,10,1.0,5
0,mittens,10,10,1.0,4
0,socks,10,10,1.0,5
0,blanket,10,10,1.0,5
0,cowl,10,10,1.0,5
0,cardigan,10,10,1.0,5
0,vest,10,10,1.0,4
0,poncho,10,9,1.0,4
0,headband,10,10,1.0,5
0,amigurumi,10,10,1.0,5
0,baby hat,10,10,1.0,5
0,crochet bag,10,10,1.0,5
0,knit sweater,10,9,1.0,4
0,merino,5,5,1.0,5
0,cotton yarn,5,5,1.0,5
0,acrylic bulky yarn,5,3,1.0,3
0,superwash wool,5,4,1.0,4
0,chenille yarn,5,5,1.0,5
0,velvet yarn,5,5,1.0,5
0,alpaca yarn,5,5,1.0,5
0,worsted weight,5,5,1.0,5
0,dk cotton,5,3,1.0,3
0,fingering wool,5,5,1.0,5
0,super bulky,5,4,1.0,4
0,lightweight cotton hat,5,3,0.5,2
0,merino,10,10,1.0,5
0,cotton yarn,10,9,1.0,4
0,acrylic bulky yarn,10,5,1.0,2
0,superwash wool,10,8,1.0,4
0,chenille yarn,10,10,1.0,5
0,velvet yarn,10,7,1.0,3
0,alpaca yarn,10,8,1.0,4
0,worsted weight,10,10,1.0,5
0,dk cotton,10,6,1.0,3
0,fingering wool,10,7,1.0,3
0,super bulky,10,9,1.0,5
0,lightweight cotton hat,10,5,0.5,2
0,malabrigo rios,5,5,1.0,5
0,lion brand wool ease,5,5,1.0,5
0,caron simply soft,5,5,1.0,5
0,paintbox dk,5,0,0.2,1
0,scheepjes whirl,5,5,1.0,5
0,katia bambi,5,1,0.25,1
